name,status,seconds
AUTH_LOGIN,200,1.523
TRIP_CREATE,200,3.385
DAY_CREATE,200,2.215
PLACE_Start,200,1.550
PLACE_End,200,1.547
PLACE_Via1,200,1.542
PLACE_Via2,200,1.541
PLACE_Via3,200,1.543
STOP_START,200,3.113
STOP_VIA1,200,8.580
STOP_VIA2,200,16.468
STOP_END,200,12.895
ROUTE_COMPUTE_A_1,429,10.967
ROUTE_COMPUTE_A_2,200,11.647
ROUTE_COMMIT_A,200,6.053
ACTIVE_SUMMARY_1,200,1.845
STOP_VIA3,400,1.651
STOPS_LIST_FOR_SEQ,200,1.233
STOP_VIA3_RETRY,200,13.243
ROUTE_COMPUTE_B_1,429,11.060
ROUTE_COMPUTE_B_2,200,12.124
ROUTE_COMMIT_B,200,4.776
ACTIVE_SUMMARY_2,200,1.458
STOPS_LIST,200,1.150
